time      scena_1refscena_2ref
         1     0,028    -0,221
         2     0,016    -0,223
         3     0,022    -0,227
         4    -0,003     -0,16
         5     0,001    -0,197
         6    -0,019    -0,037
         7    -0,034    -0,051
         8     0,039    -0,169
         9      0,02    -0,218
        10    -0,018    -0,081
        11    -0,031    -0,045
        12    -0,017    -0,043
        13    -0,031    -0,039
        14      0,05    -0,182
        15     0,067    -0,198
        16     0,032    -0,186
        17     0,071     -0,28
        18    -0,041    -0,216
        19    -0,051    -0,159
        20     0,115    -0,405
        21    -0,043    -0,192
        22    -0,016    -0,182
        23     0,026     -0,22
        24    -0,057    -0,033
        25     0,011    -0,032
        26    -0,026    -0,032
        27      0,04    -0,169
        28    -0,029    -0,154
        29      0,05    -0,224
        30    -0,029    -0,042
        31     0,092    -0,079
        32     0,023    -0,151
        33     0,004    -0,179
        34    -0,179    -0,142
        35     0,029    -0,177
        36     0,008    -0,043
        37     0,068    -0,153
        38    -0,016    -0,051
        39     0,076    -0,139
        40    -0,018    -0,022
        41     0,088     -0,19
        42     0,201    -0,385
        43     0,218    -0,303
        44      0,39    -0,013
        45     0,234    -0,173
        46     0,233    -0,208
        47     0,184    -0,159
        48     0,163    -0,193
        49     0,193    -0,225
        50     0,181    -0,225
        51     0,237     -0,27
        52     0,252    -0,242
        53     0,217    -0,236
        54     0,205     -0,24
        55     0,295    -0,218
        56     0,281    -0,179
        57     0,298     -0,18
        58     0,029    -0,107
        59     0,055    -0,182
        60     0,049    -0,149
        61     0,037    -0,094
        62    -0,028    -0,029
        63    -0,007    -0,108
        64     0,012    -0,068
        65     0,105    -0,183
        66     0,092    -0,211
        67     0,067    -0,108
        68     0,063    -0,194
        69     0,151    -0,287
        70     0,017    -0,056
        71     0,129    -0,199
        72    -0,019    -0,024
        73    -0,046    -0,053
        74      0,12    -0,172
        75     0,107    -0,313
        76     0,108    -0,258
        77     0,154     -0,26
        78     0,185    -0,304
        79     0,285    -0,295
        80     0,361     -0,34
        81     0,267    -0,379
        82     0,052    -0,203
        83     0,127     -0,21
        84     0,248    -0,353
        85     0,092    -0,242
        86     0,056    -0,174
        87     0,347    -0,369
        88     0,394    -0,306
        89     0,388    -0,393
        90     0,318    -0,363
        91     0,062    -0,329
        92      0,14    -0,502
        93     0,193    -0,448
        94     0,167    -0,355
        95     0,227    -0,279
        96      0,26    -0,321
        97     0,208    -0,288
        98     0,244     -0,38
        99     0,071    -0,189
       100     0,252     -0,44
       101     0,207    -0,489
       102     0,128    -0,467
       103      0,12    -0,524
       104     0,172    -0,357
       105     0,015     -0,16
       106     0,362    -0,311
       107      0,33    -0,253
       108     0,368    -0,349
       109     0,255     -0,37
       110     0,292    -0,433
       111       0,3    -0,426
       112     0,287    -0,555
       113      0,15    -0,391
       114     0,131    -0,311
       115     0,207     -0,34
       116     0,171    -0,376
       117     0,154    -0,302
       118     0,193    -0,275
       119     0,352    -0,447
       120     0,235    -0,336
       121     0,263    -0,399
       122     0,389    -0,533
       123     0,169    -0,382
       124       0,2    -0,357
       125       0,1    -0,319
       126     0,163    -0,269
       127     0,259    -0,299
       128     0,246     -0,32
       129     0,216    -0,399
       130     0,269    -0,405
       131      0,16    -0,372
       132     0,269    -0,375
       133     0,293    -0,391
       134     0,279    -0,341
       135     0,264    -0,384
       136     0,397    -0,367
       137     0,374    -0,472
       138     0,259    -0,382
       139     0,132    -0,218
       140      0,36    -0,479
       141     0,444    -0,469
       142     0,557    -0,527
       143     0,402    -0,456
       144     0,311    -0,428
       145     0,097     -0,28
       146     0,266    -0,376
       147     0,211    -0,462
       148     0,281    -0,369
       149     0,118    -0,162
       150     0,257     -0,22
       151     0,369    -0,285
       152     0,302    -0,328
       153     0,243     -0,32
       154     0,288    -0,253
       155     -0,06    -0,116
       156     0,255     -0,35
       157     0,102    -0,193
       158     0,106    -0,237
       159     0,272    -0,222
       160     0,151    -0,411
       161     0,388    -0,568
       162     0,284    -0,467
       163     0,265    -0,303
       164     0,477    -0,415
       165     0,234    -0,428
